nm,abs,blue,bluegreen,green,orange,white,yellow,red
466.54,0.17053292,2037.52,78.834,14,15,3205,11.707,16
466.89,0.17053292,2151,75,17.501,13.576,3346.087,13,13.854
467.24,0.17124944,2401.52,88.834,22,11,3697,8.707,13
467.59,0.16981639,2286,82,11.501,8.576,3444.087,12,12.854
467.94,0.17124944,2508.52,94.834,13,7,3717,12.707,10
468.29,0.17124944,2425,96,11.501,13.576,3583.087,17,9.854
468.64,0.17268249,2441.52,99.834,7,5,3545,13.707,7
468.98,0.17268249,2514,105,17.501,9.576,3608.087,14,6.854
469.33,0.17483206,2427.52,108.834,0,8,3426,14.707,3
469.68,0.17411554,2756,125,14.501,12.576,3848.087,10,10.854
470.03,0.17554859,2656.52,118.834,20,13,3748,17.707,14
470.38,0.17626511,2657,138,10.501,13.576,3700.087,17,9.854
470.73,0.17698164,2741.52,139.834,7,8,3765,9.707,11
471.08,0.17698164,2876,143,19.501,9.576,3856.087,15,14.854
471.43,0.17698164,2775.52,150.834,5,7,3775,14.707,16
471.78,0.17698164,2704,158,8.501,8.576,3631.087,16,11.854
472.13,0.17841469,2910.52,172.834,19,8,3836,16.707,6
472.48,0.17841469,2915,187,13.501,12.576,3884.087,14,9.854
472.83,0.17769816,2918.52,201.834,10,12,3903,4.707,6
473.18,0.17841469,2858,190,11.501,11.576,3831.087,17,7.854
473.53,0.17913121,2715.52,200.834,13,16,3612,13.707,9
473.88,0.17913121,2751,215,12.501,14.576,3666.087,14,8.854
474.23,0.17984774,2759.52,225.834,13,7,3724,10.707,11
474.58,0.18056426,2691,236,6.501,9.576,3606.087,11,14.854
474.93,0.18128079,2841.52,266.834,16,18,3847,13.707,18
475.27,0.18056426,2792,293,13.501,2.576,3794.087,9,5.854
475.62,0.18128079,2635.52,297.834,7,3,3649,12.707,14
475.97,0.18199731,2608,300,6.501,6.576,3600.087,14,10.854
476.32,0.18199731,2489.52,319.834,13,5,3535,17.707,9
476.67,0.18199731,2510,346,16.501,11.576,3586.087,18,10.854
477.02,0.18199731,2496.52,356.834,14,9,3635,15.707,7
477.37,0.18199731,2485,391,14.501,10.576,3663.087,18,7.854
477.72,0.18271384,2435.52,403.834,17,7,3620,14.707,9
478.07,0.18271384,2288,411,19.501,8.576,3503.087,12,15.854
478.42,0.18343036,2202.52,433.834,10,12,3399,13.707,16
478.76,0.18343036,2205,465,13.501,7.576,3442.087,11,8.854
479.11,0.18343036,2044.52,455.834,7,9,3273,7.707,10
479.46,0.18414689,2045,506,16.501,12.576,3313.087,19,15.854
479.81,0.18343036,2027.52,529.834,13,4,3387,11.707,10
480.16,0.18271384,1978,577,15.501,11.576,3336.087,0,7.854
480.51,0.18271384,2008.52,603.834,7,6,3443,6.707,11
480.86,0.18414689,1965,646,18.501,4.576,3428.087,15,13.854
481.2,0.18414689,1926.52,685.834,13,15,3423,9.707,10
481.55,0.18414689,1866,712,14.501,8.576,3418.087,11,7.854
481.9,0.18557994,1851.52,739.834,10,14,3370,14.707,10
482.25,0.18486341,1797,783,10.501,9.576,3346.087,12,14.854
482.6,0.18414689,1777.52,831.834,11,8,3395,13.707,10
482.95,0.18557994,1800,882,10.501,8.576,3433.087,13,12.854
483.29,0.18557994,1722.52,908.834,12,6,3321,10.707,14
483.64,0.18557994,1650,937,10.501,16.576,3239.087,11,10.854
483.99,0.18486341,1635.52,983.834,14,6,3229,11.707,14
484.34,0.18486341,1622,1060,11.501,17.576,3236.087,13,12.854
484.69,0.18486341,1574.52,1063.834,17,8,3157,8.707,14
485.03,0.18486341,1565,1142,19.501,6.576,3174.087,11,14.854
485.38,0.18486341,1568.52,1245.834,14,10,3220,7.707,14
485.73,0.18486341,1526,1294,9.501,20.576,3220.087,5,10.854
486.08,0.18557994,1516.52,1361.834,18,13,3187,5.707,6
486.43,0.18486341,1487,1397,14.501,9.576,3116.087,12,4.854
486.77,0.18629646,1450.52,1440.834,14,14,3075,2.707,15
487.12,0.18486341,1415,1532,10.501,10.576,3065.087,14,8.854
487.47,0.18486341,1431.52,1612.834,13,9,3054,17.707,13
487.82,0.18486341,1376,1650,14.501,14.576,3008.087,13,9.854
488.17,0.18486341,1358.52,1732.834,10,15,2961,9.707,10
488.51,0.18486341,1327,1778,23.501,17.576,2905.087,12,9.854
488.86,0.18557994,1291.52,1853.834,7,9,2901,7.707,18
489.21,0.18557994,1242,1925,15.501,16.576,2845.087,9,14.854
489.56,0.18629646,1216.52,1983.834,16,11,2780,18.707,6
489.9,0.18629646,1181,2049,9.501,6.576,2708.087,16,10.854
490.25,0.18629646,1157.52,2115.834,9,11,2692,3.707,13
490.6,0.18557994,1115,2196,16.501,9.576,2647.087,9,14.854
490.95,0.18629646,1120.52,2332.834,15,12,2658,9.707,7
491.29,0.18557994,1086,2413,14.501,16.576,2636.087,13,13.854
491.64,0.18629646,1075.52,2490.834,18,8,2622,10.707,6
491.99,0.18701299,1045,2587,23.501,8.576,2555.087,16,10.854
492.33,0.18629646,990.52,2624.834,18,15,2491,15.707,10
492.68,0.18701299,960,2696,8.501,9.576,2473.087,23,8.854
493.03,0.18701299,939.52,2737.834,16,11,2439,12.707,14
493.38,0.18629646,906,2836,23.501,14.576,2371.087,11,6.854
493.72,0.18772951,869.52,2924.834,15,12,2345,13.707,11
494.07,0.18772951,855,3005,11.501,15.576,2311.087,11,5.854
494.42,0.18772951,836.52,3039.834,19,13,2268,12.707,19
494.76,0.18772951,800,3141,17.501,16.576,2233.087,19,10.854
495.11,0.18701299,757.52,3173.834,15,9,2204,15.707,10
495.46,0.18701299,761,3238,18.501,11.576,2187.087,19,7.854
495.8,0.18772951,736.52,3315.834,16,8,2146,9.707,14
496.15,0.18772951,704,3350,16.501,9.576,2114.087,10,15.854
496.5,0.18844604,683.52,3407.834,7,11,2122,14.707,11
496.84,0.18844604,662,3463,8.501,19.576,2066.087,17,15.854
497.19,0.18844604,637.52,3488.834,13,10,2061,5.707,13
497.54,0.18916256,621,3530,13.501,9.576,2026.087,10,5.854
497.88,0.18916256,592.52,3599.834,16,8,1993,10.707,19
498.23,0.18987909,574,3640,13.501,7.576,1997.087,22,10.854
498.58,0.19059561,561.52,3616.834,9,3,1947,14.707,16
498.92,0.18987909,544,3672,20.501,6.576,1943.087,10,13.854
499.27,0.19059561,521.52,3698.834,13,5,1947,13.707,14
499.62,0.19059561,511,3699,17.501,12.576,1884.087,11,14.854
499.96,0.19131214,503.52,3733.834,15,13,1900,2.707,17
500.31,0.19131214,492,3731,17.501,13.576,1859.087,12,10.854
500.66,0.19202866,477.52,3723.834,10,13,1865,16.707,9
501,0.19202866,460,3739,18.501,22.576,1835.087,14,5.854
501.35,0.19202866,447.52,3711.834,13,14,1819,9.707,10
501.69,0.19202866,429,3684,10.501,15.576,1797.087,12,11.854
502.04,0.19202866,422.52,3661.834,9,15,1793,12.707,18
502.39,0.19274519,417,3688,13.501,24.576,1787.087,9,6.854
502.73,0.19274519,403.52,3688.834,16,17,1783,16.707,14
503.08,0.19274519,405,3624,15.501,13.576,1743.087,15,12.854
503.42,0.19346171,385.52,3604.834,18,15,1733,8.707,13
503.77,0.19274519,383,3575,13.501,10.576,1725.087,11,10.854
504.12,0.19346171,362.52,3523.834,13,14,1711,10.707,17
504.46,0.19417824,353,3509,18.501,12.576,1696.087,14,11.854
